,evidence,claim,QA,best answer,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Q6,A6,Q7,A7,explanation
242,"He is best known for his work in films such as X-Men Origins : Wolverine -LRB- 2009 -RRB- , Battleship -LRB- 2012 -RRB- , John Carter -LRB- 2012 -RRB- , Savages -LRB- 2012 -RRB- , and Lone Survivor -LRB- 2013 -RRB- . Kitsch is also known for his work in television , he portrayed Tim Riggins in the NBC series Friday Night Lights -LRB- 2006 -- 2011 -RRB- , starred in the second season of the HBO series True Detective as Paul Woodrugh , and appeared in the television film The Normal Heart -LRB- 2014 -RRB- as Bruce Niles .",Taylor Kitsch only worked on the 2012 film Savages.,"[{'question': 'Who worked on the film Savages?', 'answer': 'Kitsch'}, {'question': 'What was the first film Taylor Kitsch worked on?', 'answer': 'The normal heart -lrb- 2014 -rrb- as b.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The normal heart -lrb- 2014 -rrb- as b.,Who worked on the film Savages?,Kitsch,What was the first film Taylor Kitsch worked on?,The normal heart -lrb- 2014 -rrb- as b.,None,None,None,None,None,None,None,None,None,None,The first film Taylor Kitsch worked on was The normal heart -lrb- 2014 -rrb- as b.
243,"Most Azerbaijanis however , do not actively practice any religion , and the country has been seen to be one of the most irreligious countries in the Muslim world , with 53 % stating religion has little to no importance in their lives , according to Pew Research Center and Gallup polls .","In Azerbaijan, according to polls, 53% of the population state that religion has importance in their lives.","[{'question': 'What do 53% of the population of Azerbaijan think religion has in their lives?', 'answer': '53 %'}, {'question': 'What do 53% of the population believe religion has an important role in?', 'answer': 'Muslim world'}, {'question': 'What is the most recent poll that shows that religion is important in Azerbaijan?', 'answer': 'Pew research center and gallup polls.'}, {'question': 'What country has 53% of the population that religion is important in their lives?', 'answer': 'Azerbaijanis'}, {'question': 'What is religion in Azerbaijan?', 'answer': 'Religion is in azerbaijan.'}, {'question': 'What do 53% of the population in Azerbaijan believe is important in their lives?', 'answer': '53 %'}, {'question': 'None', 'answer': 'None'}]",Muslim world,What do 53% of the population of Azerbaijan think religion has in their lives?,53 %,What do 53% of the population believe religion has an important role in?,Muslim world,What is the most recent poll that shows that religion is important in Azerbaijan?,Pew research center and gallup polls.,What country has 53% of the population that religion is important in their lives?,Azerbaijanis,What is religion in Azerbaijan?,Religion is in azerbaijan.,What do 53% of the population in Azerbaijan believe is important in their lives?,53 %,None,None,53% of the population believe religion has an important role in the Muslim world.
244,The Muppet Christmas Carol is a 1992 American musical fantasy comedy-drama film and an adaptation of Charles Dickens 's 1843 novel A Christmas Carol .,The Muppet Christmas Carol is a television show.,"[{'question': 'What is the name of the television show that is based on the Muppet Christmas Carol?', 'answer': ""The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.""}, {'question': 'What is the Muppet Christmas Carol?', 'answer': ""The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.,What is the name of the television show that is based on the Muppet Christmas Carol?,The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.,What is the Muppet Christmas Carol?,The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.,None,None,None,None,None,None,None,None,None,None,The muppet christmas carol is a 1992 american musical fantasy comedy-drama film and an adaptation of charles dickens's 1843 novel a christmas carol.
245,Superior Donuts is an American sitcom that airs on CBS .,Superior Donuts is a noir film.,"[{'question': 'What is Superior Donuts?', 'answer': 'An american sitcom that airs on cbs.'}, {'question': 'What is the name of the film that is noir?', 'answer': 'Superior donuts'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",An american sitcom that airs on cbs.,What is Superior Donuts?,An american sitcom that airs on cbs.,What is the name of the film that is noir?,Superior donuts,None,None,None,None,None,None,None,None,None,None,An american sitcom that airs on cbs.
246,"He is the first person to hold both the 100 metres and 200 metres world records since fully automatic time became mandatory . He also holds the world record as a part of the 4 × 100 metres relay . An eight-time Olympic gold medalist , Bolt won the 100 m , 200 m and 4 × 100 m relay at three consecutive Olympic Games , although he subsequently lost one of the gold medals -LRB- as well as the world record set therein -RRB- nine years after the fact due to teammate Nesta Carter 's disqualification for doping offences . Bolt is the only sprinter to win Olympic 100 m and 200 m titles at three consecutive olympics -LRB- 2008 , 2012 and 2016 -RRB- , a feat referred to as the `` triple double . '' An eleven-time World Champion , he won consecutive World Championship 100 m , 200 m and 4 × 100 metres relay gold medals from 2009 to 2015 , with the exception of a 100 m false start in 2011 . He is the most successful athlete of the World Championships and was the first athlete to win three titles in both the 100 m and 200 m at the competition . His achievements as a sprinter have earned him the media nickname `` Lightning Bolt '' , and his awards include the IAAF World Athlete of the Year , Track & Field Athlete of the Year , and Laureus World Sportsman of the Year -LRB- four times -RRB- .",Usain Bolt is incapable of competing in sports.,"[{'question': 'Who is incapable of competing in sports?', 'answer': 'Nesta carter'}, {'question': 'What is Usain Bolt incapable of competing in?', 'answer': 'Olympic games'}, {'question': 'Is Usain Bolt capable of competing in sports?', 'answer': 'Yes, he is capable of competing in sports.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Yes, he is capable of competing in sports.",Who is incapable of competing in sports?,Nesta carter,What is Usain Bolt incapable of competing in?,Olympic games,Is Usain Bolt capable of competing in sports?,"Yes, he is capable of competing in sports.",None,None,None,None,None,None,None,None,He is capable of competing in sports.
247,"Lee Jun-fan -LRB- ; November 27 , 1940 -- July 20 , 1973 -RRB- , known professionally as Bruce Lee , was a Hong Kong and American martial artist , actor , philosopher , filmmaker , and founder of the martial art Jeet Kune Do .",Bruce Lee was only a professional martial artist and unable to act.,"[{'question': 'Who was a professional martial artist and unable to act?', 'answer': 'Bruce lee was a hong kong and american martial artist.'}, {'question': 'How was Bruce Lee?', 'answer': 'Bruce lee was a hong kong and american martial artist, actor, philosopher, filmmaker, and founder of the martial art jeet kune do.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Bruce lee was a hong kong and american martial artist, actor, philosopher, filmmaker, and founder of the martial art jeet kune do.",Who was a professional martial artist and unable to act?,Bruce lee was a hong kong and american martial artist.,How was Bruce Lee?,"Bruce lee was a hong kong and american martial artist, actor, philosopher, filmmaker, and founder of the martial art jeet kune do.",None,None,None,None,None,None,None,None,None,None,"Bruce lee was a hong kong and american martial artist, actor, philosopher, filmmaker, and founder of the martial art jeet kune do."
248,"Ajay Devgan -LRB- born Vishal Veeru Devgan on 2 April 1969 -RRB- , also credited as Ajay Devgn , is an Indian film actor , director and producer .",Ajay Devgn is an actor in the Canadian film industry.,"[{'question': 'What is the name of the actor who is in the Canadian film industry?', 'answer': 'Ajay devgan'}, {'question': ""What is Ajay Devgn's career?"", 'answer': 'Ajay devgan is an indian film actor, director and producer.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Ajay devgan is an indian film actor, director and producer.",What is the name of the actor who is in the Canadian film industry?,Ajay devgan,What is Ajay Devgn's career?,"Ajay devgan is an indian film actor, director and producer.",None,None,None,None,None,None,None,None,None,None,"Ajay devgan is an indian film actor, director and producer."
249,"In 2004 , she made her film debut with a role in the teen comedy Confessions of a Teenage Drama Queen . In 2007 , she co-starred as Mikaela Banes , the love interest of Shia LaBeouf 's character , in the blockbuster action film Transformers , which became her breakout role . Fox reprised her role in the 2009 sequel , Transformers : Revenge of the Fallen . Later in 2009 , she starred as the eponymous lead in the black comedy horror film Jennifer 's Body .",Megan Fox ended her acting career in 2001.,"[{'question': 'What career did Megan Fox end in 2001?', 'answer': 'In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen.'}, {'question': 'When did Megan Fox end her acting career?', 'answer': 'In 2004'}, {'question': ""What is Megan Fox's career?"", 'answer': 'In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen.",What career did Megan Fox end in 2001?,"In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen.",When did Megan Fox end her acting career?,In 2004,What is Megan Fox's career?,"In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen.",None,None,None,None,None,None,None,None,"In 2004, she made her film debut with a role in the teen comedy confessions of a teenage drama queen."
250,"-LRB- 1990 -RRB- , Everybody Wins -LRB- 1990 -RRB- , Cape Fear -LRB- 1991 -RRB- , Lorenzo 's Oil -LRB- 1992 -RRB- , The Thin Red Line -LRB- 1998 -RRB- , Hulk -LRB- 2003 -RRB- , The Good Thief -LRB- 2003 -RRB- , Hotel Rwanda -LRB- 2004 -RRB- , Tropic Thunder -LRB- 2008 -RRB- , A Walk in the Woods -LRB- 2015 -RRB- and The Ridiculous 6 -LRB- 2015 -RRB- .",Nick Nolte turned down the role he was offered in Tropic Thunder.,"[{'question': 'Who turned down the role in Tropic Thunder?', 'answer': 'The good thief -lrb- 2003 -rrb-, hotel rwanda -lrb- 2004 -rrb-, tropic thunder -lrb- 2008 -rrb-, a walk in the woods -lrb- and the ridiculous 6 -lrb- 2015 -rrb-.'}, {'question': 'What was the name of the movie Nick Nolte turned down for a role in?', 'answer': 'The name of the movie nick nolte turned down for a role in the film.'}, {'question': 'Why did Nick Nolte turn down the role in Tropic Thunder?', 'answer': 'The role of nick nolte in tropic thunder was because he turned down the role in the role.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","The good thief -lrb- 2003 -rrb-, hotel rwanda -lrb- 2004 -rrb-, tropic thunder -lrb- 2008 -rrb-, a walk in the woods -lrb- and the ridiculous 6 -lrb- 2015 -rrb-.",Who turned down the role in Tropic Thunder?,"The good thief -lrb- 2003 -rrb-, hotel rwanda -lrb- 2004 -rrb-, tropic thunder -lrb- 2008 -rrb-, a walk in the woods -lrb- and the ridiculous 6 -lrb- 2015 -rrb-.",What was the name of the movie Nick Nolte turned down for a role in?,The name of the movie nick nolte turned down for a role in the film.,Why did Nick Nolte turn down the role in Tropic Thunder?,The role of nick nolte in tropic thunder was because he turned down the role in the role.,None,None,None,None,None,None,None,None,"The good thief -lrb- 2003 -rrb-, hotel rwanda -lrB- 2004 -rrB-, tropic thunder -lr b- 2008 -rrbb- a walk in the woods -lrbd- and the ridiculous 6 -lrbb- 2015 -rrbd-"
251,"A Black Panther film was announced as one of the ten Marvel films that would be developed by Marvel Studios and distributed by Paramount Pictures in September 2005 , with Mark Bailey hired to write a script in January 2011 . Black Panther was officially announced in October 2014 , with Boseman appearing first in Captain America : Civil War .",It was announced that Black Panther would be developed by Marvel Studios in 1928.,"[{'question': 'What was the name of the movie Black Panther?', 'answer': 'Black panther was officially announced in october 2014.'}, {'question': 'Who developed Black Panther?', 'answer': 'Marvel studios'}, {'question': 'What was the name of the black Panther movie?', 'answer': 'Black panther movie was announced as one of the ten marvel films that would be developed by marvel studios and distributed by paramount pictures in september 2005.'}, {'question': 'When was Black Panther announced?', 'answer': 'Black panther was officially announced in october 2014.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Black panther was officially announced in october 2014.,What was the name of the movie Black Panther?,Black panther was officially announced in october 2014.,Who developed Black Panther?,Marvel studios,What was the name of the black Panther movie?,Black panther movie was announced as one of the ten marvel films that would be developed by marvel studios and distributed by paramount pictures in september 2005.,When was Black Panther announced?,Black panther was officially announced in october 2014.,None,None,None,None,None,None,The name of the movie Black Panther was Black panther.
252,"After the pilot was ordered in 1997 , the show premiered on the premium cable network HBO in the United States on January 10 , 1999 , and ran its six seasons with 86 episodes to June 10 , 2007 .",The Sopranos had seven seasons.,"[{'question': 'How many seasons did the Sopranos have?', 'answer': 'Six seasons'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Six seasons,How many seasons did the Sopranos have?,Six seasons,None,None,None,None,None,None,None,None,None,None,None,None,The Sopranos had six seasons.
253,"As a child , she beat 5000 candidates for the role of Flora McGrath in Jane Campion 's romantic drama film The Piano -LRB- 1993 -RRB- , despite having had little to no acting experience prior to getting the role .",Anna Paquin was unable to perform the role of Flora McGrath.,"[{'question': 'Was Anna Paquin able to perform the role of Flora McGrath?', 'answer': 'Yes, anna paquin is able to perform the role of flora mcgrath.'}, {'question': 'What role did Anna Paquin not perform?', 'answer': 'Flora mcgrath'}, {'question': 'Who was unable to perform the role of Flora McGrath?', 'answer': 'Jane campion'}, {'question': 'What is the role of Flora McGrath?', 'answer': 'Flora mcgrath is the role of jane campion in the romantic drama film the piano -lrb- 1993 -rrb-.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","Yes, anna paquin is able to perform the role of flora mcgrath.",Was Anna Paquin able to perform the role of Flora McGrath?,"Yes, anna paquin is able to perform the role of flora mcgrath.",What role did Anna Paquin not perform?,Flora mcgrath,Who was unable to perform the role of Flora McGrath?,Jane campion,What is the role of Flora McGrath?,Flora mcgrath is the role of jane campion in the romantic drama film the piano -lrb- 1993 -rrb-.,None,None,None,None,None,None,Anna paquin is able to perform the role of flora mcgrath.
254,The Matrix Revolutions is a 2003 American -- Australian science fiction action film written and directed by The Wachowski Brothers .,The Matrix Revolutions was directed by Steven Spielberg.,"[{'question': 'Who directed the movie The Matrix Revolutions?', 'answer': 'Wachowski brothers'}, {'question': ""What was Steven Spielberg's first film?"", 'answer': 'The matrix revolutions'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Wachowski brothers,Who directed the movie The Matrix Revolutions?,Wachowski brothers,What was Steven Spielberg's first film?,The matrix revolutions,None,None,None,None,None,None,None,None,None,None,The Wachowski brothers directed the movie The Matrix Revolutions.
255,"Wagner 's autobiography , Pieces of My Heart : A Life , written with author Scott Eyman , was published on September 23 , 2008 .",Robert Wagner wrote his autobiography by himself.,"[{'question': ""What is Robert Wagner's first book?"", 'answer': 'Pieces of my heart : a life'}, {'question': ""Who wrote Robert Wagner's autobiography?"", 'answer': 'Scott eyman'}, {'question': 'Who wrote his autobiography by himself?', 'answer': 'Scott eyman'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Scott eyman,What is Robert Wagner's first book?,Pieces of my heart : a life,Who wrote Robert Wagner's autobiography?,Scott eyman,Who wrote his autobiography by himself?,Scott eyman,None,None,None,None,None,None,None,None,Scott eyman wrote Robert Wagner's autobiography.
256,"Dangerous Liaisons is a 1988 American historical drama film based upon Christopher Hampton 's play Les liaisons dangereuses , which in turn was a theatrical adaptation of the 18th-century French novel Les Liaisons dangereuses by Pierre Choderlos de Laclos .",Dangerous Liaisons is exclusively a drama film.,"[{'question': 'What is the name of the film Dangerous Liaisons?', 'answer': 'The name of the film dangerous liaisons is les liaisons dangereuses.'}, {'question': 'What is Dangerous Liaisons?', 'answer': ""Dangerous liaisons is a 1988 american historical drama film based upon christopher hampton's play les liaisons dangereuses, which in turn was a theatrical adaptation of the 18th-century french novel les liaisons dangereuses by pierre choderlos de laclos.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",The name of the film dangerous liaisons is les liaisons dangereuses.,What is the name of the film Dangerous Liaisons?,The name of the film dangerous liaisons is les liaisons dangereuses.,What is Dangerous Liaisons?,"Dangerous liaisons is a 1988 american historical drama film based upon christopher hampton's play les liaisons dangereuses, which in turn was a theatrical adaptation of the 18th-century french novel les liaisons dangereuses by pierre choderlos de laclos.",None,None,None,None,None,None,None,None,None,None,The name of the film dangerous liaisons is les liaisons dangereuses.
257,"Love continued to work as an actress into the early 2000s , appearing in big-budget pictures such as Man on the Moon -LRB- 1999 -RRB- and Trapped -LRB- 2002 -RRB- , before releasing her first solo album , America 's Sweetheart , in 2004 .",Courtney Love refused to appear in Man on the Moon (1999).,"[{'question': 'When did Courtney Love appear in Man on the Moon?', 'answer': 'In man on the moon was in 1999.'}, {'question': 'Who refused to appear in Man on the Moon?', 'answer': 'Love'}, {'question': ""What is Courtney Love's character in Man on the Moon?"", 'answer': ""Courtney love's character in man on the moon is courtney love's character.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Courtney love's character in man on the moon is courtney love's character.,When did Courtney Love appear in Man on the Moon?,In man on the moon was in 1999.,Who refused to appear in Man on the Moon?,Love,What is Courtney Love's character in Man on the Moon?,Courtney love's character in man on the moon is courtney love's character.,None,None,None,None,None,None,None,None,Courtney love's character in man on the moon is courtney love's character.
258,"In the 1980s and early 1990s , it changed from a one-party military dictatorship dominated by the Kuomintang to a multi-party democracy with a semi-presidential system .",Taiwan did not change from a one-party military dictatorship to a multi-party democracy in the 1980s and early 1990s.,"[{'question': 'What was the one-party military dictatorship in Taiwan in the 1980s and early 1990s?', 'answer': 'Kuomintang'}, {'question': 'When did Taiwan change from a one-party military dictatorship to a multi-party democracy?', 'answer': '1980s and early 1990s'}, {'question': ""What was Taiwan's military dictatorship?"", 'answer': ""Taiwan's military dictatorship was dominated by the kuomintang to a multi-party democracy with a semi-presidential system.""}, {'question': ""What was Taiwan's military dictatorship in the 1980s and early 1990s?"", 'answer': ""Taiwan's military dictatorship was dominated by the kuomintang to a multi-party democracy with a semi-presidential system.""}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Kuomintang,What was the one-party military dictatorship in Taiwan in the 1980s and early 1990s?,Kuomintang,When did Taiwan change from a one-party military dictatorship to a multi-party democracy?,1980s and early 1990s,What was Taiwan's military dictatorship?,Taiwan's military dictatorship was dominated by the kuomintang to a multi-party democracy with a semi-presidential system.,What was Taiwan's military dictatorship in the 1980s and early 1990s?,Taiwan's military dictatorship was dominated by the kuomintang to a multi-party democracy with a semi-presidential system.,None,None,None,None,None,None,The one-party military dictatorship in Taiwan in the 1980s and early 1990s was Kuomintang.
259,"Stephen Rider is an American film and television actor , best known for playing Admiral Stephen W. Rochon in the film The Butler and Eric Millworth in the series Lucky 7 .",Stephen Rider turned down the opportunity to work in the series Lucky 7.,"[{'question': 'Why did Stephen Rider turn down the chance to work on Lucky 7?', 'answer': 'Stephen rider turned down the chance to work on lucky 7.'}, {'question': 'What is the name of the character who turned down the chance to work on Lucky 7?', 'answer': 'Stephen rider'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Stephen rider,Why did Stephen Rider turn down the chance to work on Lucky 7?,Stephen rider turned down the chance to work on lucky 7.,What is the name of the character who turned down the chance to work on Lucky 7?,Stephen rider,None,None,None,None,None,None,None,None,None,None,Stephen rider is the name of the character who turned down the chance to work on Lucky 7.
260,"To escape persecution , Muhammad sent some followers to Abyssinia before he and his followers migrated from Mecca to Medina -LRB- then known as Yathrib -RRB- in the year 622 .",Muhammad did not migrate from Mecca to Medina.,"[{'question': 'Who did not migrate from Mecca to Medina?', 'answer': 'Muhammad'}, {'question': 'Where did Muhammad not migrate from?', 'answer': 'Mecca'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Mecca,Who did not migrate from Mecca to Medina?,Muhammad,Where did Muhammad not migrate from?,Mecca,None,None,None,None,None,None,None,None,None,None,Muhammad did not migrate from Mecca.
261,"Three Men and a Baby is a 1987 American comedy film directed by Leonard Nimoy , and stars Tom Selleck , Steve Guttenberg , Ted Danson and Nancy Travis .",Three Men and a Baby is a baby food store.,"[{'question': 'What is Three Men and a Baby?', 'answer': 'A 1987 american comedy film directed by leonard nimoy, and stars tom selleck, steve guttenberg, ted danson and nancy travis.'}, {'question': 'What is the name of the baby food store?', 'answer': 'Three men and a baby'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]","A 1987 american comedy film directed by leonard nimoy, and stars tom selleck, steve guttenberg, ted danson and nancy travis.",What is Three Men and a Baby?,"A 1987 american comedy film directed by leonard nimoy, and stars tom selleck, steve guttenberg, ted danson and nancy travis.",What is the name of the baby food store?,Three men and a baby,None,None,None,None,None,None,None,None,None,None,"Three Men and a Baby is a 1987 american comedy film directed by leonard nimoy, and stars tom selleck, steve guttenberg, ted danson and nancy travis."
262,Canada 's border with the United States is the world 's longest binational land border .,Canada is an island.,"[{'question': 'What is Canada?', 'answer': ""Canada's border with the united states is the world's longest binational land border.""}, {'question': 'What is the name of the island in Canada?', 'answer': 'The island is the name of the island in canada.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Canada's border with the united states is the world's longest binational land border.,What is Canada?,Canada's border with the united states is the world's longest binational land border.,What is the name of the island in Canada?,The island is the name of the island in canada.,None,None,None,None,None,None,None,None,None,None,Canada's border with the united states is the world's longest binational land border.
263,"When a loss of supply occurs , a prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution .",A loss of supply only has nothing to do with prime ministers.,"[{'question': 'What is the only person who has lost supply?', 'answer': 'A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.'}, {'question': 'What is the point of a loss of supply to prime ministers?', 'answer': 'A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.'}, {'question': 'What is the effect of a loss of supply on prime ministers?', 'answer': 'A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.'}, {'question': 'What is lost by prime ministers?', 'answer': 'A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.,What is the only person who has lost supply?,A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.,What is the point of a loss of supply to prime ministers?,A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.,What is the effect of a loss of supply on prime ministers?,A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.,What is lost by prime ministers?,A prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.,None,None,None,None,None,None,The only person who has lost supply is a prime minister is generally required either by constitutional convention or by explicit constitutional instruction to either resign immediately or seek a parliamentary dissolution.
264,He has been featured in a number of documentaries and hosted television shows .,Ringo Starr has been featured in textbooks.,"[{'question': 'Who is featured in textbooks?', 'answer': 'He has been featured in a number of documentaries and hosted television shows.'}, {'question': 'Where has Ringo Starr been featured?', 'answer': 'Ringo starr has been featured in a number of documentaries and hosted television shows.'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}, {'question': 'None', 'answer': 'None'}]",Ringo starr has been featured in a number of documentaries and hosted television shows.,Who is featured in textbooks?,He has been featured in a number of documentaries and hosted television shows.,Where has Ringo Starr been featured?,Ringo starr has been featured in a number of documentaries and hosted television shows.,None,None,None,None,None,None,None,None,None,None,Ringo Starr has been featured in a number of documentaries and hosted television shows.
